Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Eastern Ethiopia,Ethiopia,Eastern Community 1766,4805,River,49.9,35,1,Toilets,17594,No,Yes,1.2,16.9,73.3
Northern Malawi,Malawi,Northern Community 1767,11556,Borehole,64.9,15,3,Toilets,47817,No,Yes,6.5,26.1,76.3
Southern Zambia,Zambia,Southern Community 1768,2953,Well,42.8,19,2,Latrines,11797,Yes,Yes,4.7,7.6,94.0
Eastern Nigeria,Nigeria,Eastern Community 1769,7268,Well,97.2,6,1,Toilets,24395,Yes,Yes,2.2,7.5,59.5
Northern Malawi,Malawi,Northern Community 1770,11409,Borehole,62.2,15,9,Latrines,5118,Yes,No,9.1,8.4,79.7
Southern Zambia,Zambia,Southern Community 1771,3750,Borehole,11.0,41,2,Latrines,11728,Yes,No,5.5,3.9,73.2
Eastern Ethiopia,Ethiopia,Eastern Community 1772,2241,River,53.8,11,3,Toilets,46543,Yes,Yes,1.1,16.3,94.5
Southern Zambia,Zambia,Southern Community 1773,2680,River,49.3,7,2,Toilets,12438,No,No,3.6,6.3,50.7
Eastern Nigeria,Nigeria,Eastern Community 1774,7957,Well,70.2,34,6,Toilets,17601,Yes,No,9.4,6.5,54.0
Eastern Ethiopia,Ethiopia,Eastern Community 1775,11496,Well,87.9,49,8,Latrines,27245,No,No,1.6,25.1,87.1
Eastern Rwanda,Rwanda,Eastern Community 1776,8234,Borehole,44.3,26,0,Latrines,12833,No,Yes,1.0,14.1,71.9
Northern Ghana,Ghana,Northern Community 1777,12995,River,54.6,37,5,Toilets,23961,No,No,4.7,10.1,79.5
Western Uganda,Uganda,Western Community 1778,8718,Well,77.2,38,8,Latrines,3198,No,Yes,4.7,19.0,59.8
Western Kenya,Kenya,Western Community 1779,13210,Well,10.4,32,4,Latrines,42827,No,Yes,9.9,29.4,51.7
Eastern Rwanda,Rwanda,Eastern Community 1780,10162,River,20.2,19,0,Toilets,3610,Yes,No,1.2,14.3,75.4
Dar es Salaam,Tanzania,Dar Community 1781,11208,Borehole,46.9,29,0,Toilets,7596,No,No,5.3,29.6,63.2
Northern Malawi,Malawi,Northern Community 1782,6657,Well,18.9,29,7,Toilets,15236,Yes,No,2.1,23.7,93.8
Southern Zambia,Zambia,Southern Community 1783,11645,Well,18.0,33,0,Latrines,10593,Yes,No,4.0,19.4,59.4
Western Uganda,Uganda,Western Community 1784,1352,Borehole,75.5,45,10,Toilets,9874,No,No,0.9,0.9,73.1
Eastern Rwanda,Rwanda,Eastern Community 1785,5023,River,94.1,33,2,Latrines,28063,Yes,No,8.8,1.8,58.8
Eastern Nigeria,Nigeria,Eastern Community 1786,5758,River,90.0,1,3,Latrines,23903,No,No,0.5,17.0,65.1
Western Uganda,Uganda,Western Community 1787,4208,River,99.7,48,0,Latrines,22736,No,Yes,9.6,29.0,53.2
Northern Ghana,Ghana,Northern Community 1788,12603,Borehole,79.1,11,9,Latrines,17838,No,Yes,5.6,17.4,84.2
Dar es Salaam,Tanzania,Dar Community 1789,4186,Borehole,63.4,45,5,Latrines,37528,No,Yes,9.1,14.1,58.4
Dar es Salaam,Tanzania,Dar Community 1790,3602,Well,19.1,5,6,Latrines,25951,No,Yes,5.6,6.2,86.4
Eastern Rwanda,Rwanda,Eastern Community 1791,11208,River,68.9,39,2,Toilets,17856,Yes,No,8.0,8.0,52.3
Eastern Rwanda,Rwanda,Eastern Community 1792,6755,Borehole,19.8,10,1,Latrines,49197,Yes,No,1.4,20.3,56.0
Southern Zambia,Zambia,Southern Community 1793,14613,Well,99.7,32,9,Toilets,42180,Yes,Yes,5.7,1.9,78.5
Northern Malawi,Malawi,Northern Community 1794,9802,Borehole,67.2,45,1,Toilets,9073,Yes,Yes,2.5,6.4,84.4
Western Uganda,Uganda,Western Community 1795,10753,Borehole,22.2,46,8,Latrines,11062,No,No,8.5,20.1,83.4
Eastern Nigeria,Nigeria,Eastern Community 1796,14825,River,72.2,43,5,Latrines,19454,Yes,Yes,3.2,10.0,61.3
Western Kenya,Kenya,Western Community 1797,8251,River,13.9,25,6,Latrines,16823,No,Yes,7.9,4.7,53.9
Northern Ghana,Ghana,Northern Community 1798,10831,Borehole,87.5,2,9,Latrines,5094,No,No,2.5,4.2,92.0
Western Kenya,Kenya,Western Community 1799,5181,River,96.9,4,0,Latrines,19587,No,Yes,9.4,9.7,80.5
Central Senegal,Senegal,Central Community 1800,5004,Borehole,18.4,29,3,Latrines,21457,Yes,No,8.8,7.6,85.9
Northern Ghana,Ghana,Northern Community 1801,8984,River,45.5,25,9,Latrines,16272,No,No,1.8,1.3,83.1
Eastern Rwanda,Rwanda,Eastern Community 1802,12266,River,77.2,38,5,Latrines,8016,Yes,No,2.5,18.8,65.5
Eastern Rwanda,Rwanda,Eastern Community 1803,2849,River,58.8,13,6,Latrines,11714,No,Yes,6.3,6.4,89.2
Eastern Ethiopia,Ethiopia,Eastern Community 1804,8970,River,39.5,7,10,Latrines,2805,No,No,6.6,1.8,61.7
Central Senegal,Senegal,Central Community 1805,1656,Well,60.9,39,3,Latrines,32539,No,Yes,6.9,16.5,72.0
Southern Zambia,Zambia,Southern Community 1806,7920,Well,90.3,35,10,Latrines,9745,No,No,6.6,1.0,88.8
Eastern Ethiopia,Ethiopia,Eastern Community 1807,10121,Well,26.5,43,8,Latrines,30495,No,Yes,2.8,13.8,66.1
Northern Malawi,Malawi,Northern Community 1808,2257,Borehole,94.2,35,6,Toilets,35701,No,Yes,5.2,3.5,92.7
Western Kenya,Kenya,Western Community 1809,6595,Borehole,53.9,36,4,Toilets,21659,No,No,8.5,6.9,76.7
Northern Ghana,Ghana,Northern Community 1810,14877,Well,16.2,33,5,Latrines,44302,No,No,7.8,3.7,72.7
Northern Malawi,Malawi,Northern Community 1811,11283,Well,14.3,49,10,Latrines,7765,No,No,4.9,5.1,59.8
Dar es Salaam,Tanzania,Dar Community 1812,7948,Well,18.2,17,7,Toilets,21056,No,No,4.3,21.3,86.3
Southern Zambia,Zambia,Southern Community 1813,3838,Well,14.3,6,5,Toilets,1243,Yes,Yes,4.7,6.7,93.3
Eastern Rwanda,Rwanda,Eastern Community 1814,10401,Borehole,40.2,6,4,Latrines,22617,No,Yes,9.8,8.4,79.8
Eastern Nigeria,Nigeria,Eastern Community 1815,14705,River,67.6,35,4,Latrines,1529,No,Yes,9.6,19.5,84.6
Central Senegal,Senegal,Central Community 1816,4031,Well,28.8,3,6,Latrines,13927,No,Yes,2.2,9.6,88.2
Southern Zambia,Zambia,Southern Community 1817,663,Well,51.1,45,5,Latrines,3977,No,No,6.9,11.2,65.7
Central Senegal,Senegal,Central Community 1818,4361,Well,74.1,11,5,Latrines,10915,Yes,Yes,10.0,23.4,66.6
Southern Zambia,Zambia,Southern Community 1819,2205,Well,20.9,50,10,Latrines,10856,No,Yes,10.0,10.5,51.0
Northern Ghana,Ghana,Northern Community 1820,7810,Borehole,62.2,14,6,Latrines,25617,No,Yes,1.1,2.1,82.0
Northern Malawi,Malawi,Northern Community 1821,7312,River,10.8,12,3,Toilets,24445,Yes,No,5.4,23.8,52.5
Eastern Nigeria,Nigeria,Eastern Community 1822,11184,River,82.6,23,4,Latrines,18142,Yes,Yes,8.1,29.8,69.9
Northern Malawi,Malawi,Northern Community 1823,12620,River,82.1,10,10,Latrines,26499,No,No,3.0,29.0,85.2
Western Kenya,Kenya,Western Community 1824,6520,River,45.9,19,3,Latrines,49871,Yes,Yes,0.6,13.0,84.8
Southern Zambia,Zambia,Southern Community 1825,6115,Well,13.2,18,2,Latrines,27217,Yes,Yes,8.5,12.2,74.4
Dar es Salaam,Tanzania,Dar Community 1826,7858,Well,81.5,20,10,Toilets,38695,No,Yes,1.0,8.9,83.7
Eastern Rwanda,Rwanda,Eastern Community 1827,5215,Well,93.3,15,7,Latrines,35436,Yes,Yes,7.7,5.3,64.1
Northern Malawi,Malawi,Northern Community 1828,1524,River,40.3,22,0,Latrines,6442,No,Yes,1.7,5.7,90.0
Central Senegal,Senegal,Central Community 1829,10822,Borehole,72.2,4,1,Latrines,47674,No,Yes,4.4,23.8,72.3
Dar es Salaam,Tanzania,Dar Community 1830,11683,Well,55.4,17,3,Toilets,27553,Yes,Yes,3.3,1.4,72.2
Eastern Rwanda,Rwanda,Eastern Community 1831,6425,Well,48.3,33,5,Latrines,40010,No,Yes,7.9,2.0,82.6
Western Uganda,Uganda,Western Community 1832,10688,River,74.2,2,3,Toilets,21261,Yes,Yes,1.2,7.0,67.7
Central Senegal,Senegal,Central Community 1833,14556,Well,21.6,28,9,Latrines,23200,Yes,Yes,3.4,10.4,91.5
Western Uganda,Uganda,Western Community 1834,4971,Well,53.0,4,0,Latrines,2251,No,Yes,6.8,5.6,82.3
Western Kenya,Kenya,Western Community 1835,11034,Well,19.4,49,10,Toilets,40344,Yes,No,9.9,1.5,86.9
Western Uganda,Uganda,Western Community 1836,4442,River,70.0,13,8,Latrines,15684,No,Yes,8.3,23.3,73.9
Dar es Salaam,Tanzania,Dar Community 1837,6031,Well,10.1,6,8,Latrines,2291,Yes,No,5.4,19.7,70.3
Southern Zambia,Zambia,Southern Community 1838,12054,Well,31.5,6,6,Latrines,43696,Yes,No,5.3,22.7,68.1
Northern Malawi,Malawi,Northern Community 1839,9319,River,89.5,34,4,Toilets,36051,No,No,8.6,4.4,92.8
Western Uganda,Uganda,Western Community 1840,6947,River,43.9,49,4,Toilets,2493,No,Yes,6.2,19.8,92.4
Eastern Rwanda,Rwanda,Eastern Community 1841,8758,River,38.3,11,9,Latrines,25468,Yes,Yes,9.9,23.6,54.4
Southern Zambia,Zambia,Southern Community 1842,6474,Well,60.8,34,4,Latrines,32115,No,Yes,8.0,1.4,78.7
Western Uganda,Uganda,Western Community 1843,5143,Well,85.4,19,2,Toilets,13063,Yes,Yes,4.3,4.5,57.4
Northern Malawi,Malawi,Northern Community 1844,560,Well,57.4,44,5,Toilets,18315,Yes,No,5.5,16.4,80.7
Eastern Ethiopia,Ethiopia,Eastern Community 1845,1495,Borehole,10.6,17,6,Latrines,31989,Yes,No,4.8,4.7,83.8
Eastern Nigeria,Nigeria,Eastern Community 1846,5763,Well,53.0,8,7,Latrines,36200,No,Yes,3.4,23.5,69.2
Southern Zambia,Zambia,Southern Community 1847,719,Borehole,34.3,33,7,Toilets,20986,Yes,No,5.7,14.7,61.2
Southern Zambia,Zambia,Southern Community 1848,12868,Well,23.7,41,7,Latrines,10959,No,No,7.6,12.4,66.0
Northern Ghana,Ghana,Northern Community 1849,10164,Well,54.8,22,2,Latrines,48310,Yes,Yes,1.9,8.5,91.2
Western Kenya,Kenya,Western Community 1850,4096,River,26.0,38,6,Latrines,41101,No,Yes,6.6,16.7,68.7
Northern Malawi,Malawi,Northern Community 1851,9547,River,98.7,20,10,Latrines,47728,Yes,Yes,1.6,10.2,66.4
Eastern Nigeria,Nigeria,Eastern Community 1852,13276,Well,78.9,36,1,Toilets,4857,Yes,No,8.0,24.1,72.9
Eastern Rwanda,Rwanda,Eastern Community 1853,4403,River,94.3,2,3,Toilets,11317,Yes,Yes,0.9,9.9,68.5
Western Kenya,Kenya,Western Community 1854,9906,Borehole,98.8,8,8,Toilets,36715,Yes,No,6.4,1.4,50.7
Eastern Nigeria,Nigeria,Eastern Community 1855,7545,River,12.5,5,10,Latrines,10662,Yes,No,10.0,22.5,53.2
Southern Zambia,Zambia,Southern Community 1856,5029,River,54.7,19,10,Latrines,27854,No,No,7.4,26.3,62.3
Eastern Nigeria,Nigeria,Eastern Community 1857,11598,Well,33.5,30,8,Latrines,6433,No,No,3.4,24.3,92.7
Central Senegal,Senegal,Central Community 1858,7363,River,49.1,36,1,Latrines,38738,Yes,Yes,4.0,23.2,63.5
Eastern Ethiopia,Ethiopia,Eastern Community 1859,12497,River,70.1,43,5,Toilets,5665,Yes,No,4.2,18.5,79.5
Western Kenya,Kenya,Western Community 1860,12179,River,17.1,38,6,Latrines,45424,Yes,Yes,5.4,17.7,92.7
Eastern Ethiopia,Ethiopia,Eastern Community 1861,13896,Borehole,57.9,48,4,Latrines,3275,Yes,No,6.1,9.4,64.3
Northern Malawi,Malawi,Northern Community 1862,794,River,60.1,30,2,Toilets,36344,Yes,No,8.7,5.6,56.7
Eastern Rwanda,Rwanda,Eastern Community 1863,3471,Well,80.5,39,3,Latrines,25219,Yes,Yes,1.1,1.7,76.7
Eastern Rwanda,Rwanda,Eastern Community 1864,3690,Borehole,18.8,6,5,Latrines,43334,Yes,Yes,0.5,17.7,79.8
Eastern Nigeria,Nigeria,Eastern Community 1865,12280,Well,33.4,38,5,Latrines,33531,Yes,No,3.0,4.0,69.8
Dar es Salaam,Tanzania,Dar Community 1866,6240,Borehole,35.4,32,2,Toilets,35653,No,No,2.7,13.3,61.6
Eastern Rwanda,Rwanda,Eastern Community 1867,14095,River,50.1,50,7,Toilets,29786,Yes,Yes,2.1,9.7,73.0
Eastern Ethiopia,Ethiopia,Eastern Community 1868,4167,Borehole,45.9,34,8,Latrines,21235,No,Yes,2.8,25.2,57.1
Eastern Nigeria,Nigeria,Eastern Community 1869,3184,River,67.0,19,5,Toilets,21604,No,Yes,8.7,3.6,51.1
Southern Zambia,Zambia,Southern Community 1870,4796,River,33.4,13,6,Toilets,27913,Yes,No,8.2,17.4,78.9
Western Uganda,Uganda,Western Community 1871,12818,River,14.2,4,10,Toilets,21872,Yes,Yes,2.7,27.9,62.6
Western Kenya,Kenya,Western Community 1872,8616,Borehole,64.5,46,3,Latrines,16191,Yes,No,5.8,24.5,53.8
Northern Ghana,Ghana,Northern Community 1873,8382,River,78.9,4,2,Toilets,8618,Yes,Yes,7.3,14.1,88.8
Northern Ghana,Ghana,Northern Community 1874,4048,River,62.4,13,3,Toilets,48502,No,No,7.7,11.5,74.5
Eastern Ethiopia,Ethiopia,Eastern Community 1875,3432,River,73.7,9,2,Toilets,12863,No,No,8.8,26.4,61.6
Northern Malawi,Malawi,Northern Community 1876,2164,Borehole,59.0,39,8,Latrines,40395,Yes,No,4.0,23.1,71.4
Eastern Ethiopia,Ethiopia,Eastern Community 1877,14993,Borehole,20.2,5,1,Toilets,17170,No,Yes,3.3,15.1,59.8
Eastern Ethiopia,Ethiopia,Eastern Community 1878,11342,Well,54.9,27,5,Latrines,44455,Yes,Yes,0.8,20.6,91.1
Southern Zambia,Zambia,Southern Community 1879,3167,Well,14.7,11,1,Latrines,40175,No,Yes,7.3,1.9,86.2
Eastern Rwanda,Rwanda,Eastern Community 1880,6684,Borehole,63.5,41,8,Latrines,22143,No,No,1.0,28.0,80.3
Northern Malawi,Malawi,Northern Community 1881,4926,Borehole,23.6,49,1,Latrines,15523,Yes,No,5.3,26.2,82.5
Northern Ghana,Ghana,Northern Community 1882,1119,Borehole,36.6,41,1,Toilets,32017,No,Yes,6.0,23.9,62.4
Western Uganda,Uganda,Western Community 1883,13088,River,83.8,25,9,Toilets,9840,No,No,9.8,18.8,62.2
Western Uganda,Uganda,Western Community 1884,1375,Well,46.0,27,4,Latrines,9351,No,No,7.9,9.7,66.3
Northern Malawi,Malawi,Northern Community 1885,4145,River,43.1,27,5,Latrines,41966,No,Yes,7.4,13.1,54.8
Eastern Rwanda,Rwanda,Eastern Community 1886,10494,Well,39.3,20,5,Toilets,47182,Yes,No,3.6,11.6,83.3
Northern Ghana,Ghana,Northern Community 1887,7533,River,29.4,29,2,Latrines,37726,No,Yes,1.9,2.7,63.6
Southern Zambia,Zambia,Southern Community 1888,8471,Borehole,76.6,43,7,Toilets,18888,Yes,No,7.9,27.1,51.6
Western Uganda,Uganda,Western Community 1889,7720,Well,49.5,10,8,Toilets,20240,Yes,No,1.1,14.7,69.2
Eastern Ethiopia,Ethiopia,Eastern Community 1890,8367,Well,49.4,25,7,Toilets,49055,No,No,7.1,6.6,71.8
Northern Malawi,Malawi,Northern Community 1891,14660,River,75.3,45,8,Latrines,1178,Yes,No,3.9,24.5,56.9
Central Senegal,Senegal,Central Community 1892,4412,Well,83.5,35,9,Latrines,6148,Yes,No,3.0,1.9,78.3
Western Kenya,Kenya,Western Community 1893,2438,Well,24.9,40,6,Toilets,34270,No,No,6.1,19.0,64.7
Eastern Rwanda,Rwanda,Eastern Community 1894,2275,River,72.5,15,5,Toilets,39415,Yes,No,9.1,6.6,75.8
Western Uganda,Uganda,Western Community 1895,14332,Borehole,17.7,4,2,Latrines,37548,Yes,Yes,5.8,19.2,79.0
Eastern Nigeria,Nigeria,Eastern Community 1896,14424,Well,64.1,22,6,Toilets,28586,Yes,Yes,6.7,24.9,58.5
Northern Malawi,Malawi,Northern Community 1897,6993,Well,61.6,39,0,Latrines,11025,Yes,No,8.2,22.4,84.9
Western Kenya,Kenya,Western Community 1898,14204,River,19.9,29,2,Latrines,33218,Yes,No,7.3,23.7,71.7
Eastern Rwanda,Rwanda,Eastern Community 1899,6722,River,16.5,26,1,Latrines,24421,No,Yes,8.7,15.4,64.4
Eastern Nigeria,Nigeria,Eastern Community 1900,10387,Well,77.7,40,10,Latrines,39981,No,No,2.4,4.9,64.4
Southern Zambia,Zambia,Southern Community 1901,1773,River,79.1,16,8,Latrines,33462,No,No,2.5,23.4,52.1
Southern Zambia,Zambia,Southern Community 1902,1468,Well,14.0,42,8,Latrines,2077,No,No,6.7,15.9,53.8
Eastern Nigeria,Nigeria,Eastern Community 1903,11681,Borehole,91.1,16,0,Latrines,35948,No,No,4.7,4.5,87.1
Southern Zambia,Zambia,Southern Community 1904,2348,Borehole,100.0,30,1,Toilets,17964,Yes,Yes,3.0,10.2,72.8
Dar es Salaam,Tanzania,Dar Community 1905,12962,Well,82.9,41,9,Latrines,42881,Yes,No,0.8,12.7,68.9
Central Senegal,Senegal,Central Community 1906,5264,Borehole,79.0,24,9,Latrines,45859,No,Yes,6.7,21.8,70.2
Northern Ghana,Ghana,Northern Community 1907,5000,River,79.7,5,9,Toilets,29663,Yes,No,7.8,6.4,86.6
Eastern Ethiopia,Ethiopia,Eastern Community 1908,14455,Borehole,75.8,10,4,Toilets,20012,No,No,3.1,19.3,68.6
Northern Malawi,Malawi,Northern Community 1909,8425,River,86.2,14,7,Toilets,1454,Yes,No,0.9,5.7,57.1
Eastern Nigeria,Nigeria,Eastern Community 1910,11498,Well,53.4,26,5,Toilets,14339,No,No,2.8,27.4,50.3
Eastern Rwanda,Rwanda,Eastern Community 1911,3228,Well,95.3,31,3,Toilets,21446,No,Yes,9.1,3.5,83.8
Eastern Rwanda,Rwanda,Eastern Community 1912,1094,Borehole,16.7,32,2,Latrines,12212,No,Yes,8.6,5.7,86.6
Northern Ghana,Ghana,Northern Community 1913,3678,River,89.3,31,10,Toilets,27558,No,Yes,9.7,24.4,61.5
Northern Malawi,Malawi,Northern Community 1914,14385,River,64.4,43,10,Latrines,28298,Yes,Yes,7.0,24.2,54.6
Eastern Ethiopia,Ethiopia,Eastern Community 1915,4770,Well,25.3,43,8,Toilets,16903,No,Yes,3.5,10.9,67.1
Northern Ghana,Ghana,Northern Community 1916,4872,River,78.1,42,1,Toilets,37476,Yes,Yes,8.4,17.7,94.5
Dar es Salaam,Tanzania,Dar Community 1917,14478,Well,33.0,23,8,Latrines,33973,Yes,Yes,7.4,23.8,94.9
Northern Ghana,Ghana,Northern Community 1918,1878,Well,30.3,36,7,Toilets,37811,No,No,7.2,18.7,84.7
Dar es Salaam,Tanzania,Dar Community 1919,12864,Borehole,76.8,42,4,Toilets,20985,Yes,No,1.2,0.5,72.8
Western Kenya,Kenya,Western Community 1920,6323,Well,50.4,15,10,Toilets,42989,Yes,No,3.5,18.4,69.4
Western Uganda,Uganda,Western Community 1921,8362,Borehole,53.6,47,2,Latrines,33201,Yes,No,4.8,1.6,60.6
Southern Zambia,Zambia,Southern Community 1922,7113,Borehole,93.2,19,4,Latrines,25569,No,Yes,1.6,21.6,59.4
Eastern Ethiopia,Ethiopia,Eastern Community 1923,6243,River,40.1,43,10,Latrines,18442,No,No,2.9,24.8,78.2
Central Senegal,Senegal,Central Community 1924,746,Borehole,21.7,40,5,Latrines,16762,No,Yes,3.8,17.8,66.2
Eastern Rwanda,Rwanda,Eastern Community 1925,5748,Well,88.1,20,1,Latrines,17016,Yes,No,3.0,7.5,70.7
Central Senegal,Senegal,Central Community 1926,2428,Well,55.9,22,3,Toilets,37844,No,No,6.1,19.3,77.1
Western Kenya,Kenya,Western Community 1927,5237,Well,46.7,44,6,Latrines,40150,No,Yes,9.8,22.3,89.7
Central Senegal,Senegal,Central Community 1928,2209,Borehole,29.2,1,0,Toilets,5381,No,Yes,9.8,24.5,56.7
Dar es Salaam,Tanzania,Dar Community 1929,9403,Well,73.1,1,3,Latrines,28075,No,Yes,9.3,6.2,57.0
Dar es Salaam,Tanzania,Dar Community 1930,3518,Borehole,63.3,20,1,Latrines,12165,Yes,Yes,2.6,19.1,50.1
Eastern Nigeria,Nigeria,Eastern Community 1931,1359,Well,78.4,9,2,Latrines,49606,Yes,No,8.9,18.7,76.6
Southern Zambia,Zambia,Southern Community 1932,5771,River,93.4,25,1,Toilets,36327,No,Yes,1.8,14.9,93.8
Eastern Rwanda,Rwanda,Eastern Community 1933,6199,Borehole,49.3,46,3,Latrines,17923,Yes,Yes,6.6,21.2,71.5
Eastern Ethiopia,Ethiopia,Eastern Community 1934,1594,Well,46.0,13,4,Toilets,17771,Yes,Yes,9.9,3.0,53.7
Southern Zambia,Zambia,Southern Community 1935,1652,Well,12.1,27,2,Latrines,28766,Yes,Yes,9.9,5.8,50.1
Central Senegal,Senegal,Central Community 1936,4806,Well,61.5,32,3,Toilets,10578,Yes,Yes,0.8,23.8,79.9
Eastern Nigeria,Nigeria,Eastern Community 1937,4553,River,72.2,36,0,Latrines,18315,No,No,6.3,13.1,50.2
Eastern Ethiopia,Ethiopia,Eastern Community 1938,12299,Borehole,93.4,46,7,Latrines,12940,No,Yes,2.5,5.6,88.7
Western Uganda,Uganda,Western Community 1939,2651,Borehole,35.7,41,6,Latrines,33341,Yes,Yes,5.3,12.6,63.2
Southern Zambia,Zambia,Southern Community 1940,2815,Borehole,98.3,18,9,Latrines,37849,Yes,Yes,7.6,7.2,53.5
Eastern Rwanda,Rwanda,Eastern Community 1941,9738,Borehole,53.8,32,10,Toilets,19670,Yes,No,7.3,12.0,53.5
Western Kenya,Kenya,Western Community 1942,1988,River,72.2,25,0,Toilets,43194,Yes,Yes,7.6,14.3,75.9
Western Kenya,Kenya,Western Community 1943,8333,River,62.9,40,1,Toilets,38603,Yes,Yes,5.1,27.4,51.0
Northern Ghana,Ghana,Northern Community 1944,2264,Well,27.0,11,0,Latrines,1618,No,No,6.8,1.7,84.0
Dar es Salaam,Tanzania,Dar Community 1945,2545,River,85.8,35,0,Latrines,31142,Yes,Yes,8.7,25.0,93.6
Northern Malawi,Malawi,Northern Community 1946,8361,Borehole,61.9,46,2,Latrines,39284,No,Yes,9.3,24.0,82.8
Eastern Nigeria,Nigeria,Eastern Community 1947,3655,Borehole,10.9,5,10,Latrines,18520,No,Yes,3.2,11.1,89.5
Central Senegal,Senegal,Central Community 1948,13364,Borehole,62.0,17,5,Toilets,46854,No,No,4.0,7.3,86.2
Central Senegal,Senegal,Central Community 1949,7334,Well,20.3,26,0,Latrines,24626,Yes,Yes,2.1,7.8,91.5
Eastern Nigeria,Nigeria,Eastern Community 1950,508,Borehole,20.8,19,3,Latrines,48784,No,Yes,1.7,12.6,74.6
Northern Malawi,Malawi,Northern Community 1951,4612,Borehole,52.3,49,5,Toilets,35144,No,No,8.1,15.1,94.8
Southern Zambia,Zambia,Southern Community 1952,6342,Borehole,83.9,50,10,Latrines,37828,Yes,No,5.4,20.4,67.6
Dar es Salaam,Tanzania,Dar Community 1953,3221,River,17.5,6,0,Latrines,14713,No,No,1.9,13.1,71.4
Northern Malawi,Malawi,Northern Community 1954,14257,Borehole,10.1,3,0,Toilets,23207,Yes,Yes,5.5,24.6,74.3
Western Uganda,Uganda,Western Community 1955,10698,River,68.6,35,7,Toilets,47382,Yes,No,1.6,21.8,92.9
Eastern Rwanda,Rwanda,Eastern Community 1956,8752,Borehole,41.6,30,2,Latrines,19269,No,Yes,9.2,17.8,64.1
Northern Malawi,Malawi,Northern Community 1957,14059,River,49.0,2,5,Toilets,35366,No,Yes,7.8,24.6,61.1
Western Uganda,Uganda,Western Community 1958,13439,River,48.6,47,3,Toilets,26774,No,No,3.0,3.8,67.8
Northern Malawi,Malawi,Northern Community 1959,11599,Borehole,77.6,43,2,Toilets,10696,Yes,No,1.8,9.2,81.4
Eastern Rwanda,Rwanda,Eastern Community 1960,9716,Well,70.0,21,2,Latrines,34820,Yes,No,2.9,21.3,88.9
Central Senegal,Senegal,Central Community 1961,4613,River,32.7,23,1,Toilets,32759,Yes,Yes,5.4,10.8,67.6
Western Kenya,Kenya,Western Community 1962,12744,Borehole,95.0,43,3,Toilets,24303,No,No,5.6,11.0,61.4
Dar es Salaam,Tanzania,Dar Community 1963,10858,River,18.3,33,9,Latrines,49836,Yes,Yes,9.9,20.5,67.4
Northern Ghana,Ghana,Northern Community 1964,14634,Well,30.6,47,4,Latrines,1961,Yes,Yes,0.6,28.1,53.9
Dar es Salaam,Tanzania,Dar Community 1965,4773,Borehole,42.0,10,7,Toilets,27969,Yes,Yes,0.8,22.3,62.6
Northern Ghana,Ghana,Northern Community 1966,1149,Well,44.1,42,3,Latrines,3431,No,No,1.4,12.3,81.9
Eastern Rwanda,Rwanda,Eastern Community 1967,11938,Well,90.7,30,8,Toilets,27444,No,Yes,7.4,8.7,68.8
Dar es Salaam,Tanzania,Dar Community 1968,9103,Well,79.9,1,10,Latrines,31614,No,No,3.5,25.6,68.6
Western Uganda,Uganda,Western Community 1969,3313,River,30.1,17,0,Latrines,4208,No,No,3.4,8.1,55.7
Northern Malawi,Malawi,Northern Community 1970,6279,Well,81.4,47,8,Toilets,14263,Yes,No,1.0,18.6,90.3
Western Uganda,Uganda,Western Community 1971,12152,River,97.0,21,7,Latrines,44537,No,Yes,6.3,22.2,86.5
Western Uganda,Uganda,Western Community 1972,13156,Well,15.8,45,7,Latrines,20058,Yes,Yes,9.6,17.6,85.0
Western Uganda,Uganda,Western Community 1973,790,River,12.8,8,1,Toilets,31434,Yes,Yes,8.4,13.1,53.8
Western Kenya,Kenya,Western Community 1974,10729,River,83.2,46,2,Latrines,10776,Yes,No,2.4,2.5,77.9
Western Kenya,Kenya,Western Community 1975,769,River,37.8,31,8,Toilets,1533,No,Yes,5.2,4.1,65.3
Northern Malawi,Malawi,Northern Community 1976,1144,Borehole,78.5,39,5,Latrines,24549,No,No,4.0,11.8,93.4
Dar es Salaam,Tanzania,Dar Community 1977,13319,River,68.9,35,10,Latrines,16249,Yes,No,5.8,28.5,89.2
Eastern Ethiopia,Ethiopia,Eastern Community 1978,11467,Well,32.6,3,4,Toilets,48189,Yes,Yes,2.1,1.8,85.5
Southern Zambia,Zambia,Southern Community 1979,11440,Well,77.2,8,10,Toilets,9965,No,No,2.1,17.5,56.6
Central Senegal,Senegal,Central Community 1980,11932,Well,69.6,36,9,Latrines,22166,No,Yes,1.5,8.5,65.3
Eastern Rwanda,Rwanda,Eastern Community 1981,4294,Borehole,18.7,7,5,Latrines,14659,No,No,4.5,6.5,87.9
Southern Zambia,Zambia,Southern Community 1982,3943,Well,78.5,32,5,Latrines,47401,No,No,1.2,10.4,88.7
Western Kenya,Kenya,Western Community 1983,2059,Well,57.6,29,3,Latrines,27943,Yes,Yes,4.0,19.0,52.3
Eastern Ethiopia,Ethiopia,Eastern Community 1984,13767,Well,75.1,35,7,Toilets,36036,No,No,2.9,29.7,86.5
